crop,disease,medicine_name,medicine_type,dosage,application_method,frequency,precautions,source,justification,recommendation

Rice,Rice Blast,Tricyclazole,Fungicide,0.6 g/L,Foliar spray,2 sprays at 10-day interval,Avoid spraying during rain,ICAR,"Fungal pathogen affects leaves and reduces yield.","Remove infected leaves and apply Tricyclazole."

Rice,Bacterial Leaf Blight,"Streptocycline + Copper Oxychloride","Antibiotic + Fungicide",0.1 g + 2.5 g/L,Foliar spray,2 sprays,Wear gloves and mask,ICAR,"Bacteria causes leaf lesions and wilting.","Remove infected leaves and spray recommended medicine."

Rice,Brown Spot,Mancozeb,Fungicide,2.5 g/L,Foliar spray,2–3 sprays,Avoid excess dosage,FAO,"Fungal spots reduce photosynthesis and yield.","Spray Mancozeb and remove affected leaves."

Rice,Sheath Blight,Validamycin,Fungicide,2 ml/L,Foliar spray,2 sprays,Do not mix with other chemicals,ICAR,"Disease spreads rapidly under humid conditions.","Spray Validamycin and avoid waterlogging."

Rice,Leaf Smut,Propiconazole,Fungicide,1 ml/L,Foliar spray,2 sprays,Keep away from children,FAO,"Fungus infects leaf tips causing black pustules.","Apply Propiconazole and remove infected leaves."

Rice,Tungro,Imidacloprid,Insecticide,0.3 ml/L,Foliar spray,2 sprays at 10–15 day interval,Avoid spraying during flowering,IRRI,"Viral disease transmitted by leafhoppers causing yellowing.","Control vectors and remove infected plants."

Pulses,Anthracnose,Carbendazim 50% WP,Fungicide,1 g/L,Foliar spray,2 sprays at 10-day interval,Avoid spraying during strong sunlight,ICAR,"Fungal disease causing dark lesions on leaves and pods.","Remove infected parts and spray Carbendazim."

Pulses,Yellow Mosaic Virus,Imidacloprid 17.8% SL,Insecticide,0.3 ml/L,Foliar spray,2 sprays,Avoid spraying during flowering,ICAR,"Virus transmitted by whiteflies causing yellowing.","Control whitefly population and remove infected plants."

Pulses,Leaf Spot,Mancozeb 75% WP,Fungicide,2 g/L,Foliar spray,2 sprays at 7–10 day interval,Wash hands after use,FAO,"Fungal leaf spots reduce photosynthesis.","Spray Mancozeb and maintain field hygiene."

Pulses,Healthy,Not Required,None,NA,NA,NA,Regular monitoring,General Practice,"Crop is healthy with no disease symptoms.","Maintain balanced nutrition and irrigation."

Pepper,Bacterial_spot,"Streptocycline + Copper Oxychloride","Antibiotic + Fungicide",0.1 g + 2.5 g/L,Foliar spray,2 sprays,Wear gloves and mask,ICAR,"Bacterial infection causes leaf lesions.","Remove infected leaves and apply treatment."
